"Zeit";"Position";"Signalgeschwindigkeit"
8,564539;1,228051;1,599745
8,5662;1,230443;1,440299
8,567718;1,232935;1,642251
8,569259;1,235211;1,477291
8,570825;1,237522;1,475352
8,572342;1,239872;1,548958
8,573947;1,242147;1,417485
8,57555;1,244555;1,502052
8,577181;1,24696;1,474671
8,578738;1,249405;1,569767
8,580351;1,251742;1,449469
8,582149;1,254161;1,345124
8,58375;1,256858;1,684176
8,585366;1,259259;1,486446
8,586976;1,261683;1,50533
8,588604;1,264099;1,484055
8,590923;1,26654;1,052596
8,592883;1,270019;1,77464
8,594484;1,27296;1,836876
8,596092;1,275361;1,493564
8,59764;1,277773;1,557659
8,602079;1,280095;0,5231889
8,604076;1,286754;3,334112
8,605813;1,289749;1,724787
8,607422;1,292354;1,619948
8,608991;1,294767;1,53739
8,610546;1,29712;1,512835
8,612121;1,299454;1,482053
8,613672;1,301816;1,522329
8,615299;1,304143;1,430189
8,616851;1,306584;1,572991
8,618409;1,308912;1,493942
8,619937;1,311249;1,529637
8,622214;1,31354;1,006447
8,624502;1,316956;1,492839
8,626136;1,320387;2,1005
8,627676;1,322838;1,591057
8,629256;1,325149;1,46172
8,63085;1,32752;1,488264
8,63249;1,329909;1,45676
8,63409;1,33237;1,537394
8,635623;1,334771;1,566562
8,637383;1,337069;1,30579
8,638992;1,33971;1,641657
8,640566;1,342123;1,533199
8,642288;1,344483;1,370678
8,643899;1,347067;1,603915
8,645457;1,349482;1,549545
8,647102;1,351821;1,422103
8,648663;1,354288;1,581281
8,650205;1,356628;1,517188
8,65174;1,358941;1,506868
8,653319;1,361244;1,458151
8,658279;1,363613;0,4776206
8,660233;1,371054;3,809241
8,661951;1,373983;1,704664
8,663478;1,376561;1,689065
8,665035;1,378851;1,470023
8,666653;1,381187;1,444204
8,668204;1,383613;1,563998
8,66974;1,38594;1,515424
8,671278;1,388244;1,497148
8,672782;1,390552;1,534627
8,67432;1,392807;1,466535
8,675925;1,395114;1,437046
8,677535;1,397523;1,495817
8,679085;1,399938;1,558731
8,680631;1,402262;1,502836
8,682382;1,404581;1,325017
8,683943;1,407207;1,681787
8,686316;1,409549;0,986939
8,688225;1,413109;1,864796
8,689827;1,415972;1,787618
8,691445;1,418375;1,484133
8,69312;1,420803;1,450333
8,694757;1,423315;1,53496
8,696386;1,425769;1,505786
8,698007;1,428214;1,508337
8,699577;1,430645;1,548263
8,701207;1,433001;1,445404
8,702917;1,435445;1,429285
8,704473;1,438011;1,649735
8,706019;1,440344;1,507976
8,710331;1,442664;0,5382406
8,712021;1,449131;3,825275
8,71362;1,451666;1,585408
8,715164;1,454065;1,553913
8,717189;1,456381;1,1437
8,719063;1,459419;1,621035
